Same,Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IssueStatus,Unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinkedIssueStatus,Unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of IssueKey,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,ACM,ACQ,ACQE,AI,AUT,AUTO,BINT,BOKR,CACS,CAD,CAPE,CAPP,CAR,CARD,CBRE,CCAL,CCOL,CCT,CDA,CDL,CES,CFOPS,CI,CIA,CISRE,CJI,CLSS,CMP,CNE,CNS,COL,COMMS,COMP,COR,CRSK,CSYS,CTEM,CTGR,CUSTIAM,DARC,DBA,DBEAN,DCI,DCOM,DE,DEP,DIS,DPB,DPR,DPSS,DR,DS,EDME,EMC,ENGOPS,EOKR,EPMC,ER,ERD,ESDL,ESYS,FLDR,FORMS,GENAI,IAM,ICS,IMG,INI,INSO,INTG,KO,LAS,LAW,MCCE,MCCP,MCLD,MCLNE,ME,MES,MO,MOB,OAE,OBSRV,OE,ONE,ORC,ORIG,ORL,OSO,PA,PAY,PDS,PIE,PLAQ,PLAT,PLOS,POP,POS,PSM,QUAL,SEN,SIGN,SRE,TCA,TOKR,TP,TRIM,UN,UPT,UX,Grand Total,,,,,,,,,,,,,,,,,,,
CRSK,,1 ,,,,,,,,,5 ,1 ,,,,2 ,,,,,3 ,,,,,,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,5 ,,,,,,,,,,,,,,,,,,,1 ,3 ,,,,,,,,,,,,,,,,,,,,,,,31 ,,,,,,,,,,,,,,,,,,,
OAE,,,,,,,,,,,,,,,,,,,,,,1 ,,,,2 ,,,,,,,,,,,,,,,,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,4 ,,,,1 ,,,8 ,,,3 ,,,,,,,,,,,,,,,,,,,,29 ,,,,,,,,,,,,,,,,,,,
TRIM,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 ,,,,,,,,,,,,,,,,,,,
CAPE,,,,,,,,1 ,,,,1 ,,,,1 ,,,,,3 ,,,,,,3 ,,,,,,,1 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 ,,,,,,,,,,,,,,,,,,,
LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 ,,,,,,,,,,,,,,,,,,,
CARD,,,,,,,,,,,,,3 ,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 ,,,,,,,,,,,,,,,,,,,
CTGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 ,,,,,,,,,,,,,,,,,,,
DBEAN,,,,,,,,,,,,,1 ,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,9 ,7 ,,,,,,,,2 ,,,,,,,,,,,,,,3 ,,,,,,24 ,,,,,,,,,,,,,,,,,,,
AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 ,,,,,,,,,,,,,,,,,,,
ACQ,,,1 ,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,1 ,1 ,,,,,,1 ,,,,,,,,,,,,,,,13 ,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,1 ,,,,,,,,1 ,1 ,,,,,,,,22 ,,,,,,,,,,,,,,,,,,,
POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 ,,,,,,,,,,,,,,,,,,,,,,20 ,,,,,,,,,,,,,,,,,,,
ENGOPS,,,,,1 ,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,1 ,1 ,,,,,,,,,,,,,,,10 ,,,3 ,,,,,,,,,,,,,,,,,,,,19 ,,,,,,,,,,,,,,,,,,,
PSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,1 ,,,,,,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 ,,,,,,,,,,,,,,,,,,,
UN,,,,,,,,,,,,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 ,,,,,,,,,,,,,,,,,,,
INTG,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 ,,,,,,,,,,,,,,,,,,,
OSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 ,,,,,,,,,,,,,,14 ,,,,,,,,,,,,,,,,,,,
FORMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,8 ,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,13 ,,,,,,,,,,,,,,,,,,,
CBRE,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,4 ,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 ,,,,,,,,,,,,,,,,,,,
COR,,1 ,,,1 ,,,,,,1 ,,,,,,,,,,,,,,,,,,,,1 ,,1 ,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,1 ,,,,,,,,,,,,,,2 ,,,,,,11 ,,,,,,,,,,,,,,,,,,,
DE,,,,,,,,,1 ,,,,,,,,,,,,2 ,,1 ,,,,,,,,,,,1 ,,,,,,,,,,,,1 ,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 ,,,,,,,,,,,,,,,,,,,
COMMS,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,8 ,,,,,,,,,,,,,,,,,,,,,,,10 ,,,,,,,,,,,,,,,,,,,
SRE,,1 ,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,,,,1 ,,,,,,,,,,,,,,,,,,,10 ,,,,,,,,,,,,,,,,,,,
CAD,,,,,3 ,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,1 ,,10 ,,,,,,,,,,,,,,,,,,,
COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,1 ,1 ,,,,,,,,,,,,,1 ,,,,,,,,,,,1 ,,1 ,,,,,,,,,,9 ,,,,,,,,,,,,,,,,,,,
MCLNE,,,,,2 ,,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 ,,,,,,,,,,,,,,,,,,,
ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ,,,,,,,,,,,,,,,,,,,
MCCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,4 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ,,,,,,,,,,,,,,,,,,,
CNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,1 ,,7 ,,,,,,,,,,,,,,,,,,,
DPSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,1 ,2 ,,,,,,,,7 ,,,,,,,,,,,,,,,,,,,
CMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ,,,,,,,,,,,,,,6 ,,,,,,,,,,,,,,,,,,,
DCI,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,6 ,,,,,,,,,,,,,,,,,,,
FLDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ,,,,,,,,,,,,,,,,,,,
MCLD,1 ,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ,,,,,,,,,,,,,,,,,,,
CNS,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,
CCAL,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,
COMP,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,1 ,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,
CDL,,,,,,,,,,,,,2 ,2 ,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,
SIGN,,1 ,,,,,,,,,,,,,,,,,,,,,1 ,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,
ERD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,
CISRE,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,2 ,,5 ,,,,,,,,,,,,,,,,,,,
ESDL,,,,,,,,,,,,,1 ,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,
DARC,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,
CACS,,1 ,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,1 ,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,
TDC,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,
UX,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,
MOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,
IAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,
CCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,
PDS,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,
PLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,
CJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,3 ,,,,,,,,,,,,,,,,,,,
