"Id","Name","Description","Self","Expand","PermissionsCount","HasScope","GeneratedAt"
"10266","EKF: Default Permission Scheme","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:43 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10266","permissions,user,group,projectRole,field,all","87","No","2025-09-24 15:34:32"
"10331","ENGG: Default Permission Scheme","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 31 Mar 2025 17:13 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10331","permissions,user,group,projectRole,field,all","87","No","2025-09-24 15:34:32"
"10123","General Services Permission Scheme","This is the default Permission Scheme. Any new projects that are created will be assigned this scheme. (Migrated on 26 Mar 2023 22:23 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10123","permissions,user,group,projectRole,field,all","131","No","2025-09-24 15:34:32"
"10124","General Services Permission Scheme (migrated)","This is the default Permission Scheme. Any new projects that are created will be assigned this scheme. (Migrated on 1 May 2023 00:12 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10124","permissions,user,group,projectRole,field,all","123","No","2025-09-24 15:34:32"
"10132","JOP Project Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10132","permissions,user,group,projectRole,field,all","151","No","2025-09-24 15:34:32"
"10130","MDP: Simplified Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10130","permissions,user,group,projectRole,field,all","174","Yes","2025-09-24 15:34:32"
"10108","ODTEST: Simplified Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10108","permissions,user,group,projectRole,field,all","161","Yes","2025-09-24 15:34:32"
"10128","Pilot Project Permission Scheme (migrated)","For projects created and stripped back to baseline default configurations (Migrated on 22 Sep 2023 17:55 UTC) (Migrated on 18 Dec 2023 13:11 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10128","permissions,user,group,projectRole,field,all","172","No","2025-09-24 15:34:32"
"10117","Read Only Permission Scheme","This permission scheme will only allow users to browse the issues","https://onemain.atlassian.net/rest/api/3/permissionscheme/10117","permissions,user,group,projectRole,field,all","88","No","2025-09-24 15:34:32"
"10109","Restricted - Browse Project","This permission scheme will limit browse project permission to users listed in Admin or Developer roles","https://onemain.atlassian.net/rest/api/3/permissionscheme/10109","permissions,user,group,projectRole,field,all","107","No","2025-09-24 15:34:32"
"10106","Restricted - Create Issue","Create Issue permission has been restricted to allow for existing issues to be processed but disallow the addition of new tickets.","https://onemain.atlassian.net/rest/api/3/permissionscheme/10106","permissions,user,group,projectRole,field,all","101","No","2025-09-24 15:34:32"
"10115","Routing Project Permission Scheme","This scheme is to allow only certain users to create ideas, and others to transition issues.","https://onemain.atlassian.net/rest/api/3/permissionscheme/10115","permissions,user,group,projectRole,field,all","105","No","2025-09-24 15:34:32"
"10120","SEC Permission Scheme","Securitization Permission Scheme ","https://onemain.atlassian.net/rest/api/3/permissionscheme/10120","permissions,user,group,projectRole,field,all","135","No","2025-09-24 15:34:32"
"10122","SEC Permission Scheme (migrated)","Securitization Permission Scheme (Migrated on 26 Mar 2023 16:01 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10122","permissions,user,group,projectRole,field,all","98","No","2025-09-24 15:34:32"
"10127","Standard Project Permission Scheme","For projects created and stripped back to baseline default configurations (Migrated on 22 Sep 2023 17:55 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10127","permissions,user,group,projectRole,field,all","151","No","2025-09-24 15:34:32"
"10397","TCET: Default Permission Scheme","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 14 Jul 2025 19:58 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10397","permissions,user,group,projectRole,field,all","87","No","2025-09-24 15:34:32"
"10116","Vertical Teams Permissions","Default scheme edited to allow all users to edit reporter (to match edit issue permission)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10116","permissions,user,group,projectRole,field,all","105","No","2025-09-24 15:34:32"
"10119","WL Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10119","permissions,user,group,projectRole,field,all","138","No","2025-09-24 15:34:32"
"10121","WL Permission Scheme (migrated)","Securitization Permission Scheme (Migrated on 26 Mar 2023 13:19 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10121","permissions,user,group,projectRole,field,all","103","No","2025-09-24 15:34:32"
