"ProjectKey","ProjectName","ProjectStatuses","GeneratedAt"
"CNS","CNSS - Network Security","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:45"
"CNSS","CNSS - Network Services and Communication Lane","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:45"
"COL","SVC - Collections","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:45"
"COMMS","Communications","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:46"
"COMP","Compliance","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:47"
"CONT","RC - Internal Content","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:47"
"COPS","CTECH - Cybersecurity Operations","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:47"
"COR","COR","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:48"
"CRSK","C&A - Credit Risk Management","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:49"
"CSF","CARDS SF Deployments","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:49"
"CTECH","CTECH - Cyber Technology","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:49"
"CTEM","CyberSecurity Threat and Exposure Management","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:50"
"CTGR","SVC - Collections Tiger","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:50"
"CUSD","Consumer Domain","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:50"
"CWG","CWGMonitoring","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:51"
"DARC","Database Architecture","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:51"
"DAWA","Data Warehouse","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:51"
"DBA","Data Platform - DBA","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:52"
"DBEAN","SVC - ACT","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:52"
"DCI","PIE - Enterprise Engineering Infrastructure","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:52"
"DCOM","CNSS - Telephony","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:53"
"DE","DevOps Engineering","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:53"
"DEP","DevOps Engineering Platform","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:53"
"DEPI","DevOps Platform Intake","Done; Hold; In Definition; New Idea; Ready for Backlog; Under Review","2025-10-07 20:57:53"
"DLP","DLP","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:53"
"DOC","Next Generation Document Management System","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:54"
"DOT","Digital Organization Training","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:54"
"DP","Data Protection","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:54"
"DPB","Demo Prioritization Backlog","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:54"
"DPR","DevOps Platform Roadmap","Delivery; Discovery; Done; Impact; Parking lot; Ready for delivery","2025-10-07 20:57:55"
"DPSS","Document Platform Shared Service","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:55"
"DR","Disaster Recovery","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:55"
"DS","Design System","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:55"
"EA","Enterprise Architecture","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:56"
"EDME","PIE- Enterprise Desktop and Mobility Engineering","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:56"
"EMC","Enterprise Monitoring Center","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:56"
"ENGOPS","Engineering Operations","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:57"
"EOKR","Enterprise OKRs","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:57"
"EPMC","EPM - Enterprise Patch Management and Compliance","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:58"
"ERC","Enterprise Release Cadence","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:58"
"ERD","Enterprise Release Distribution","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:59"
"ESDL","Enterprise Services Data Lake","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:59"
"ETAC","ETAC - Enterprise Technology Audit Compliance","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:59"
"FLDR","Field Reporting","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:00"
"FNTR","Finance Transformation","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:00"
"FORMS","Forms","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:01"
"FS","Foursight Tech/Cyber","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:01"
"FSYS","Financial Systems","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:01"
"GENAI","GENAI","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:01"
"HRES","RC - Human Resources","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:02"
"IAM","Identity and Access Management","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:02"
"ICS","INEN - I Core Systems","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:02"
"IMG","Imaging","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:03"
"INEN","INEN - Infrastructure and Engineering Lane","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:03"
"INI","Initiatives","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:03"
"INSO","Insurance Operations","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:03"
"INTG","INTG - Integration and Orchestration Platform","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:03"
"JAP","Jira Archive / Cleanup Project","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:04"
"JOP","Jira OKR Pilot Project","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:04"
"LAS","LAS","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:05"
"LAW","RC - Law Coding","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:06"
"LNL","Lunch and Learn","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:06"
"MCACQ","Comms - Loan Acquisition","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:06"
"MCARD","Comms - Cards","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:07"
"MCCE","Customer Comms Engineering","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:07"
"MCCOL","Comms - Loan SVC Collections","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:09"
"MCCOMP","COMMS Product","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:09"
"MCCP","Comms - Customer Preferences","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:58:10"
