"SourceProject","TargetProject","SourceIssueKey","TargetIssueKey","LinkDirection","SourceSummary","SourceStatus","SourceUpdated"
"LAS","PSM","LAS-4017","PSM-413","Outbound","ZORADR cleanup","Testing","09/23/2025 16:27:01"
"CIA","UPT","CIA-1649","UPT-960","Inbound","Certify web08 environment for Ruby 3.1.1 integration testing - CIAM","Backlog","09/17/2025 09:39:32"
"CNE","COL","CNE-3256","COL-2951","Inbound","Files handles are not being released fast enough- implement delay to the process - Unable to open file error - Case 01731699","Backlog","08/19/2025 14:56:48"
"CNE","COL","CNE-3256","COL-171","Inbound","Files handles are not being released fast enough- implement delay to the process - Unable to open file error - Case 01731699","Backlog","08/19/2025 14:56:48"
"CDL","CARD","CDL-6886","CARD-4357","Inbound","Store entire Fraud Intelligence response in data lake for analytics","Testing","09/25/2025 05:33:22"
"CDL","CARD","CDL-6887","CARD-4357","Inbound","Create a view for Fraud Intelligence Attributes","Testing","09/26/2025 08:41:48"
"PSM","ICS","PSM-7","ICS-174","Inbound","Test","Backlog","09/10/2025 16:31:49"
"OAE","DBEAN","OAE-2293","DBEAN-2600","Outbound","Engagement Team | Analytics | Heap Scroll","Backlog","08/14/2025 12:54:12"
"EMC","SRE","EMC-1274","SRE-1984","Inbound","New IVAAS alerting for OMFPLOSPROD","Acceptance","08/20/2025 14:50:03"
"CISRE","UPT","CISRE-1132","UPT-956","Outbound","Update production URL's for Redis 5 to 6 migration","Testing","09/16/2025 15:43:39"
"CDL","CARD","CDL-6856","CARD-572","Inbound","CLONE - Load Venture Master Recon Tracking Report to Athena","Backlog","09/26/2025 13:05:29"
"OAE","DBEAN","OAE-2286","DBEAN-2755","Inbound","Spike: Investigate AuthSdkError White Screen Issue in Login Callback Flows","Ready for Work","09/17/2025 15:40:32"
"SRE","MCCE","SRE-3018","MCCE-976","Inbound","Ingest OMFMARTECHPROD alarm for ""PROD: Incoming RT Events - Duplicate Request ID Error""","Blocked","09/12/2025 13:38:22"
"SRE","EMC","SRE-3018","EMC-939","Inbound","Ingest OMFMARTECHPROD alarm for ""PROD: Incoming RT Events - Duplicate Request ID Error""","Blocked","09/12/2025 13:38:22"
"ACQE","UPT","ACQE-340","UPT-971","Inbound","Ruby 3.1.1 integration testing (Web08) environment signoff - Acquisitions","Backlog","09/16/2025 11:52:58"
"COMMS","UPT","COMMS-3743","UPT-972","Inbound","Ruby 3.1.1 integration testing (Web08) environment signoff - Communications","Testing","09/18/2025 15:09:42"
"CES","CRSK","CES-7803","CRSK-2653","Outbound","Ensemble v3.2 ADS model with Equifax DataX and Clearview Attributes","Backlog","08/11/2025 16:40:39"
"DBEAN","OAE","DBEAN-2755","OAE-2286","Outbound","Engagement Team | Analytics | Glassbox Acct Num & Cust_ID mismatch","Backlog","08/20/2025 11:32:11"
"CARD","CACS","CARD-4640","CACS-2950","Inbound","Redacted Characters in K360 authenticationId","In Progress","09/18/2025 11:10:37"
"SEN","FORMS","SEN-265","FORMS-517","Inbound","2025 Annual Privacy Mailing","Backlog","09/04/2025 12:19:24"
"CRSK","CES","CRSK-2695","CES-6655","Outbound","Manage Credit - Rework ACAPS Retry logic to use new connections","In Progress","09/24/2025 15:20:01"
"UPT","CISRE","UPT-956","CISRE-1132","Inbound","Redis 6 production upgrade for geo application","Blocked","09/16/2025 12:18:14"
"CES","ESDL","CES-7785","ESDL-2914","Outbound","Recreate PAH dataset to include income verification method on AWS for Pulse as reference data","Backlog","09/04/2025 09:53:07"
"SRE","PDS","SRE-3011","PDS-3338","Inbound","Ingo Speedfunds & BillPay Monitoring","In Progress","09/19/2025 09:48:15"
"CNE","CACS","CNE-3237","CACS-2978","Inbound","Check Firewall for Blocks on Wiz Scan IPs to cards prod","Backlog","08/07/2025 12:06:59"
"COMP","COR","COMP-496","COR-459","Outbound","Compliance Feature Flag Cleanup (Rollout Flag)","In Progress","09/22/2025 16:09:50"
"CCP","CES","CCP-677","CES-7555","Outbound","Add Shared Svcs hub AWS account IAM role to S3 bucket policy on Cards (Non-Prod)","Testing","09/08/2025 09:21:37"
"PAY","DBEAN","PAY-1940","DBEAN-2781","Inbound","Make ""Upcoming Payment Section"" in Account Summary Page Consistent with ""Scheduled Payment Page"" UX [Testing Only][UAT-Ops]","Backlog","09/17/2025 11:15:18"
"PAY","DBEAN","PAY-1940","DBEAN-2784","Inbound","Make ""Upcoming Payment Section"" in Account Summary Page Consistent with ""Scheduled Payment Page"" UX [Testing Only][UAT-Ops]","Backlog","09/17/2025 11:15:18"
"PAY","DBEAN","PAY-1940","DBEAN-2785","Inbound","Make ""Upcoming Payment Section"" in Account Summary Page Consistent with ""Scheduled Payment Page"" UX [Testing Only][UAT-Ops]","Backlog","09/17/2025 11:15:18"
"CES","CRSK","CES-7755","CRSK-2441","Outbound","Income Confidence Model v2 - Rollout to support credit policy strategy","Backlog","08/04/2025 15:50:46"
"CES","CRSK","CES-7755","CRSK-2608","Inbound","Income Confidence Model v2 - Rollout to support credit policy strategy","Backlog","08/04/2025 15:50:46"
"CIA","UN","CIA-1572","UN-148","Outbound","(AC) User Service needs to generate a unique identifier (UCID) for each new user record","In Progress","09/17/2025 09:33:41"
"SRE","EMC","SRE-3032","EMC-1208","Inbound","Review ""Payments Dashboard EMC""","Testing","09/26/2025 09:43:43"
"SRE","EMC","SRE-3032","EMC-346","Inbound","Review ""Payments Dashboard EMC""","Testing","09/26/2025 09:43:43"
"SRE","EMC","SRE-3032","EMC-601","Inbound","Review ""Payments Dashboard EMC""","Testing","09/26/2025 09:43:43"
"SRE","EMC","SRE-3032","EMC-946","Inbound","Review ""Payments Dashboard EMC""","Testing","09/26/2025 09:43:43"
"SRE","EMC","SRE-3032","EMC-377","Inbound","Review ""Payments Dashboard EMC""","Testing","09/26/2025 09:43:43"
"SRE","EMC","SRE-3032","EMC-364","Inbound","Review ""Payments Dashboard EMC""","Testing","09/26/2025 09:43:43"
"ESDL","CES","ESDL-2824","CES-5675","Outbound","dbt foundations_base pipeline changes to remove column experian_consumer_credit_profile_id column from applicant table in Opstore","Backlog","09/12/2025 15:43:48"
"COR","PAY","COR-459","PAY-1807","Outbound","CLASS Flags Remediation","In Progress","09/15/2025 10:30:33"
"COR","CAPE","COR-459","CAPE-962","Outbound","CLASS Flags Remediation","In Progress","09/15/2025 10:30:33"
"COR","AUT","COR-459","AUT-2070","Outbound","CLASS Flags Remediation","In Progress","09/15/2025 10:30:33"
"COR","COL","COR-459","COL-2567","Outbound","CLASS Flags Remediation","In Progress","09/15/2025 10:30:33"
"COR","ACQ","COR-459","ACQ-3977","Outbound","CLASS Flags Remediation","In Progress","09/15/2025 10:30:33"
"COR","COMP","COR-459","COMP-496","Inbound","CLASS Flags Remediation","In Progress","09/15/2025 10:30:33"
"EMC","SRE","EMC-1255","SRE-2847","Inbound","Document Ceph_AlertManager alerts","In Progress","08/11/2025 09:58:38"
"EMC","DCI","EMC-1255","DCI-1960","Inbound","Document Ceph_AlertManager alerts","In Progress","08/11/2025 09:58:38"
"CNE","CACS","CNE-3227","CACS-2997","Outbound","Rate Controls and Client Reputation for qafieldreporting and devfieldreporting","Testing","08/06/2025 08:44:47"
"CNE","CACS","CNE-3227","CACS-3010","Outbound","Rate Controls and Client Reputation for qafieldreporting and devfieldreporting","Testing","08/06/2025 08:44:47"
"EMC","DCI","EMC-1254","DCI-1960","Inbound","Ingest alerting from new Ceph AlertManager","Acceptance","08/06/2025 17:43:13"
"EMC","SRE","EMC-1254","SRE-2847","Inbound","Ingest alerting from new Ceph AlertManager","Acceptance","08/06/2025 17:43:13"
"CES","DARC","CES-7712","DARC-401","Outbound","Scale Pulse Non Production to support Testing Load (MQPUTS)","Backlog","08/07/2025 14:59:26"
"CES","PDS","CES-7712","PDS-3252","Inbound","Scale Pulse Non Production to support Testing Load (MQPUTS)","Backlog","08/07/2025 14:59:26"
"LAW","ENGOPS","LAW-1068","ENGOPS-4620","Outbound","Update CA Law Grids - Forms List","Testing","09/25/2025 09:10:12"
"LAW","E","LAW-1068","E-2025","Outbound","Update CA Law Grids - Forms List","Testing","09/25/2025 09:10:12"
"ESDL","CES","ESDL-2820","CES-7197","Inbound","Plaid_asset automation of manual steps for long term solution","In Progress","09/26/2025 08:46:24"
"DPSS","SIGN","DPSS-1794","SIGN-252","Outbound","[API] ~30 CATALYST e-signature integration","In Progress","09/24/2025 09:19:01"
"DPSS","SIGN","DPSS-1794","SIGN-8","Inbound","[API] ~30 CATALYST e-signature integration","In Progress","09/24/2025 09:19:01"
"DCI","IAM","DCI-2116","IAM-3785","Inbound","Microsoft Entra Password Protection to prevent common base words","Testing","09/24/2025 10:11:50"
"AI","DCI","AI-2576","DCI-2054","Outbound","VIYA SAS PIRD Document","Blocked","09/24/2025 09:48:03"
"DBEAN","ONE","DBEAN-2727","ONE-235","Inbound","Console logs showing up in prod environment mobile app","Backlog","07/25/2025 11:15:42"
"CRSK","CES","CRSK-2653","CES-7803","Inbound","As the credit policy and ML model, I need the latest version of ClearView Attributes (CVA) available for execution","Backlog","08/11/2025 16:40:39"
"OSO","POP","OSO-718","POP-379","Outbound","Technology Network Monitoring Tool Development","Backlog","09/26/2025 16:53:39"
"OSO","POP","OSO-718","POP-382","Outbound","Technology Network Monitoring Tool Development","Backlog","09/26/2025 16:53:39"
"OSO","POP","OSO-718","POP-408","Inbound","Technology Network Monitoring Tool Development","Backlog","09/26/2025 16:53:39"
